#,HTML,Link,Title,Author,Year,Topic,Keywords,Source,,
36,"<a href=""https://hockey-graphs.com/2016/04/18/zefr-rate-a-new-and-better-way-to-evaluate-power-plays/"" target=""_blank"">ZEFR Rate: A New and Better Way to Evaluate Power Plays</a>",https://hockey-graphs.com/2016/04/18/zefr-rate-a-new-and-better-way-to-evaluate-power-plays/,ZEFR Rate: A New and Better Way to Evaluate Power Plays,Arik Parnass,2016,Measures,Powerplay,Hockey Graphs,,
37,"<a href=""http://web.archive.org/web/20120310182810/http://www.vhockey.blogspot.com/2010/05/forest-v-trees.html"" target=""_blank"">Forest vs. Trees</a>",http://web.archive.org/web/20120310182810/http://www.vhockey.blogspot.com/2010/05/forest-v-trees.html,Forest vs. Trees,Tim Barnes,2010,Measures,"Defenders, Save Percentage",Irreverant Oilers Fans,,
38,"<a href=""https://archive.fo/MbagE"" target=""_blank"">Using Marcel Projections for Goalies in the 2016-17 Season</a>",https://archive.fo/MbagE,Using Marcel Projections for Goalies in the 2016-17 Season,Harry Shomer,2016,Evaluation,"Goalies, Marcels",NHL Numbers,,
39,"<a href=""http://archive.is/mGjEV/"" target=""_blank"">On Salad And Predicting Hockey Games</a>",http://archive.is/mGjEV/,On Salad And Predicting Hockey Games,Emmanuel Perry,2017,Evaluation,"Analytics, Models",Corsica,,
40,"<a href=""https://hockey-graphs.com/2018/01/02/an-introduction-to-new-tracking-technology/"" target=""_blank"">An Introduction to New Tracking Technology</a>",https://hockey-graphs.com/2018/01/02/an-introduction-to-new-tracking-technology/,An Introduction to New Tracking Technology,Prashanth Iyer,2018,Evaluation,"Passing Project, Tracking, Zone Entries",Hockey-Graphs,,
41,"<a href=""http://www.blueshirtsbreakaway.com/2017/11/16/a-beginners-guide-to-goaltender-advanced-stats/"" target=""_blank"">A Beginner's Guide to Goaltender Advanced Stats</a>",http://www.blueshirtsbreakaway.com/2017/11/16/a-beginners-guide-to-goaltender-advanced-stats/,A Beginner's Guide to Goaltender Advanced Stats,Drew Way,2017,Introduction,"Goalies, Goaltender, GSAA, goals saved above average, dSv%, adjusted save percentage, delta save percentage, shot quality",Blueshirts Breakaway,,
42,"<a href=""https://www.puckworlds.com/2011/8/4/2344313/how-good-is-the-khl"" target=""_blank"">How Good is the KHL?</a>",https://www.puckworlds.com/2011/8/4/2344313/how-good-is-the-khl,How Good is the KHL?,Bruce Peter,2011,Evaluation,"NHL Draft, KHL, Free Agency",Puck Worlds,,
43,"<a href=""https://www.tsn.ca/predicting-the-playoffs-with-puck-possession-1.257042"" target=_blank"">Predicting the Playoffs with Puck Possession</a>",https://www.tsn.ca/predicting-the-playoffs-with-puck-possession-1.257042,Predicting the Playoffs with Puck Possession,Travis Yost,2015,Evaluation,"Playoffs, Prediction",TSN,,
44,"<a href=""http://blog.war-on-ice.com/index.html%3Fp=45.html"" target=""_blank"">The Road to WAR (for Hockey), Part 4: You Can’t Spell “An Incremental Improvement” without Two Teams</a>",http://blog.war-on-ice.com/index.html%3Fp=45.html,"The Road to WAR (for Hockey), Part 4: You Can’t Spell “An Incremental Improvement” without Two Teams",A.C. Thomas,2014,Evaluation,Skaters,WAR-on-Ice,,
45,"<a href=""http://blog.war-on-ice.com/index.html%3Fp=43.html"" target=""_blank"">The Road to WAR (for Hockey), Part 3: Shot Quality Assurance, Plus A Bonus on Travel Fatigue</a>",http://blog.war-on-ice.com/index.html%3Fp=43.html,"The Road to WAR (for Hockey), Part 3: Shot Quality Assurance, Plus A Bonus on Travel Fatigue",A.C. Thomas,2014,Evaluation,Skaters,WAR-on-Ice,,
46,"<a href=""https://hockey-graphs.com/2017/08/10/measuring-the-importance-of-individual-player-zone-entry-creation/amp/"" target=""_blank"">Measuring the Importance of Individual Player Zone Entry Creation</a>",https://hockey-graphs.com/2017/08/10/measuring-the-importance-of-individual-player-zone-entry-creation/amp/,Measuring the Importance of Individual Player Zone Entry Creation,Charlie O'Connor,2017,Evaluation,Zone Entries,Hockey-Graphs,,
47,"<a href=""https://flamesnation.ca/2018/01/18/half-season-review-the-flames-penalty-kill-part-1/"" target=_blank"">2017-18 Half-Season Review: The Flames’ Penalty Kill (Part 1)</a>",https://flamesnation.ca/2018/01/18/half-season-review-the-flames-penalty-kill-part-1/,2017-18 Half-Season Review: The Flames’ Penalty Kill (Part 1),Mike Pfeil,2018,Evaluation,"Penalty Kill, Systems, Shorthanded, Special Teams, Tactics",Flames Nation,,
48,"<a href=""http://hockeyanalytics.com/2016/07/elo-ratings-for-the-nhl/"" target=""_blank"">ELO Ratings for the NHL</a>",http://hockeyanalytics.com/2016/07/elo-ratings-for-the-nhl/,ELO Ratings for the NHL,Alan Ryder,2016,Miscellaneous,,Hockey Analytics,,
49,"<a href=""http://archive.is/OQa1p"" target=""_blank"">Descriptive vs Predictive eGF vs Corsi for Forwards</a>",http://archive.is/OQa1p,Descriptive vs Predictive eGF vs Corsi for Forwards,Nick Abe,2016,Measures,"Expected Goals, Shot Quality",XtraHockeyStats,,
50,"<a href=""http://www.nhlspecialteams.com/blog/2016/3/5/which-specific-zone-entry-types-are-most-successful"" target=""_blank"">Which Specific Zone Entry Types are Most Successful?</a>",http://www.nhlspecialteams.com/blog/2016/3/5/which-specific-zone-entry-types-are-most-successful,Which Specific Zone Entry Types are Most Successful?,Arik Parnass,2016,Measures,Powerplay,Special Teams Project,,
51,"<a href=""http://www.nhlspecialteams.com/blog/2016/3/14/how-do-rebound-shots-impact-shooting-percentages"" target=""_blank"">How Do Rebound Shots Impact Shooting Percentages?</a>",http://www.nhlspecialteams.com/blog/2016/3/14/how-do-rebound-shots-impact-shooting-percentages,How Do Rebound Shots Impact Shooting Percentages?,Arik Parnass,2016,Measures,Powerplay,Special Teams Project,,
52,"<a href=""http://www.nhlspecialteams.com/blog/2016/2/29/are-neutral-zone-regroups-beneficial-for-power-play-units"" target=""_blank"">Are Neutral Zone Regroups Beneficial to Power Play Units?</a>",http://www.nhlspecialteams.com/blog/2016/2/29/are-neutral-zone-regroups-beneficial-for-power-play-units,Are Neutral Zone Regroups Beneficial to Power Play Units?,Arik Parnass,2016,Measures,Powerplay,Special Teams Project,,
53,"<a href=""http://fooledbygrittiness.blogspot.com/2018/03/shooter-talent-and-expected-goals.html?m=1"" target=""_blank"">Shooter Talent and Expected Goals</a>",http://fooledbygrittiness.blogspot.com/2018/03/shooter-talent-and-expected-goals.html?m=1,Shooter Talent and Expected Goals,Harry Shomer,2018,Measures,"Expected Goals, Shooter Talent, Sh%",Fooled By Grittiness,,
54,"<a href=""https://canucksarmy.com/2017/09/18/prospect-statistics-have-moved-far-beyond-looking-at-point-totals/"" target=""_blank"">Position Value and Wage Determinants</a>",https://canucksarmy.com/2017/09/18/prospect-statistics-have-moved-far-beyond-looking-at-point-totals/,Position Value and Wage Determinants,Jeremy Davis,2017,Evaluation,Prospects,Canucks Army,,
55,"<a href=""http://www.greaterthanplusminus.com/2013/09/bayesian-approach-to-analyzing-goalies.html"" target=""_blank"">Bayesian Approach to Analyzing Goalies - Part 1</a>",http://www.greaterthanplusminus.com/2013/09/bayesian-approach-to-analyzing-goalies.html,Bayesian Approach to Analyzing Goalies - Part 1,Brian MacDonald,2013,Evaluation,"Goalies, Bayesian, Save Percentage, SV%",Greater Than Plus Minus,,
56,"<a href=""http://www.nhlspecialteams.com/blog/2016/1/14/breaking-down-existing-power-play-data-by-shot-type"" target=""_blank"">Breaking Down Existing Power Play Data By Shot Type</a>",http://www.nhlspecialteams.com/blog/2016/1/14/breaking-down-existing-power-play-data-by-shot-type,Breaking Down Existing Power Play Data By Shot Type,Arik Parnass,2016,Measures,Powerplay,Special Teams Project,,
57,"<a href=""https://hockey-graphs.com/2016/06/30/entry-generation-and-suppression/"" target=""_blank"">Entry Generation and Suppression</a>",https://hockey-graphs.com/2016/06/30/entry-generation-and-suppression/,Entry Generation and Suppression,Alex Novet,2016,Measures,Zone Entries / Exits / Starts,Hockey Graphs,,
58,"<a href=""http://blog.war-on-ice.com/index.html%3Fp=39.html"" target=""_blank"">The Road to WAR (for Hockey), Part 2: All Rate Now</a>",http://blog.war-on-ice.com/index.html%3Fp=39.html,"The Road to WAR (for Hockey), Part 2: All Rate Now",A.C. Thomas,2014,Evaluation,Skaters,WAR-on-Ice,,
59,"<a href=""http://www.nhlspecialteams.com/blog/2016/1/13/predicting-year-to-year-power-play-success"" target=""_blank"">Predicting Year-to-Year Power Play Success</a>",http://www.nhlspecialteams.com/blog/2016/1/13/predicting-year-to-year-power-play-success,Predicting Year-to-Year Power Play Success,Arik Parnass,2016,Measures,Powerplay,Special Teams Project,,
60,"<a href=""https://flamesnation.ca/2018/01/19/half-season-review-the-flames-penalty-kill-part-2/"" target=_blank"">2017-18 Half-Season Review: The Flames’ Penalty Kill (Part 2)</a>",https://flamesnation.ca/2018/01/19/half-season-review-the-flames-penalty-kill-part-2/,2017-18 Half-Season Review: The Flames’ Penalty Kill (Part 2),Mike Pfeil,2018,Evaluation,"Penalty Kill, Systems, Shorthanded, Special Teams, Tactics",Flames Nation,,
61,"<a href=""https://hockey-graphs.com/2018/02/21/revisiting-relative-shot-metrics-part-1/"" target=""_blank"">Revisiting Relative Shot Metrics - Part 1</a>",https://hockey-graphs.com/2018/02/21/revisiting-relative-shot-metrics-part-1/,Revisiting Relative Shot Metrics - Part 1,Evolving Wild,2018,Measures,"Rel Tm, Relative, WOWY",Hockey-Graphs,,
62,"<a href=""http://www.greaterthanplusminus.com/2013/10/bayesian-approach-to-analyzing-goalies_11.html"" target=""_blank"">Bayesian Approach to Analyzing Goalies - Part 4</a>",http://www.greaterthanplusminus.com/2013/10/bayesian-approach-to-analyzing-goalies_11.html,Bayesian Approach to Analyzing Goalies - Part 4,Brian MacDonald,2013,Evaluation,"Goalies, Bayesian, Save Percentage, SV%",Greater Than Plus Minus,,
63,"<a href=""https://hockey-graphs.com/2015/11/11/has-the-nhls-new-faceoff-rule-increased-goal-scoring/"" target=""_blank"">Has the NHL's New Faceoff Rule Increased Goal Scoring?</a>",https://hockey-graphs.com/2015/11/11/has-the-nhls-new-faceoff-rule-increased-goal-scoring/,Has the NHL's New Faceoff Rule Increased Goal Scoring?,Arik Parnass,2015,Evaluation,"Faceoffs, Scoring",Hockey Graphs,,
64,"<a href=""http://objectivenhl.blogspot.com/2009/02/even-strength-shooting-percentage.html"" target=""_blank"">Even Strength Shooting Percentage</a>",http://objectivenhl.blogspot.com/2009/02/even-strength-shooting-percentage.html,Even Strength Shooting Percentage,Tore Purdy,2009,Measures,Shooting Percentage,Objective NHL,,
65,"<a href=""http://hockeyviz.com/txt/edgar"" target=""_blank"">Prediction Model - Edgar</a>",http://hockeyviz.com/txt/edgar,Prediction Model - Edgar,Micah Blake McCurdy,2017,Evaluation,"Analytics, Models",Hockeyviz,,
66,"<a href=""http://www.greaterthanplusminus.com/2013/10/bayesian-approach-to-analyzing-goalies.html"" target=""_blank"">Bayesian Approach to Analyzing Goalies - Part 2: An Example</a>",http://www.greaterthanplusminus.com/2013/10/bayesian-approach-to-analyzing-goalies.html,Bayesian Approach to Analyzing Goalies - Part 2: An Example,Brian MacDonald,2013,Evaluation,"Goalies, Bayesian, Save Percentage, SV%",Greater Than Plus Minus,,
67,"<a href=""https://hockey-graphs.com/2014/03/21/how-well-do-goalies-age-a-look-at-a-goalie-aging-curve/"" target=""_blank"">How Well Do Goalies Age? A look at a goalie aging curve</a>",https://hockey-graphs.com/2014/03/21/how-well-do-goalies-age-a-look-at-a-goalie-aging-curve/,How Well Do Goalies Age? A look at a goalie aging curve,Garik16,2014,Evaluation,"Goalies, Marcels, Aging Curve",Hockey Graphs,,
68,"<a href=""https://hockey-graphs.com/2018/02/22/revisiting-relative-shot-metrics-part-2/"" target=""_blank"">Revisiting Relative Shot Metrics - Part 2</a>",https://hockey-graphs.com/2018/02/22/revisiting-relative-shot-metrics-part-2/,Revisiting Relative Shot Metrics - Part 2,Evolving Wild,2018,Measures,"Rel Tm, Relative, WOWY",Hockey-Graphs,,
69,"<a href=""http://fooledbygrittiness.blogspot.com/2018/01/expected-goals-model.html"" target=_blank"">Expected Goals Model</a>",http://fooledbygrittiness.blogspot.com/2018/01/expected-goals-model.html,Expected Goals Model,Harry Shomer,2018,Measures,Expected Goals,Fooled By Grittiness,,
70,"<a href=""http://archive.is/XNLkC"" target=""_blank"">eGF Finally Fully Explained</a>",http://archive.is/XNLkC,eGF Finally Fully Explained,Nick Abe,2016,Measures,"Expected Goals, Shot Quality",XtraHockeyStats,,
71,"<a href=""https://www.nhl.com/news/analytics-not-statistics-driving-nhl-evolution/c-754099"" target=""_blank"">Analytics, not statistics, driving NHL evolution</a>",https://www.nhl.com/news/analytics-not-statistics-driving-nhl-evolution/c-754099,"Analytics, not statistics, driving NHL evolution",Arik Parnass,2015,Introduction,Analytics,NHL.com,,
72,"<a href=""https://medium.com/@dannypage/expected-goals-just-don-t-add-up-they-also-multiply-1dfd9b52c7d0"" target=""_blank"">Expected Goals Just Don't Add Up - They Also Multiply</a>",https://medium.com/@dannypage/expected-goals-just-don-t-add-up-they-also-multiply-1dfd9b52c7d0,Expected Goals Just Don't Add Up - They Also Multiply,Danny Page,2015,Measures,"Expected Goals, Shot Quality",Medium,,
73,"<a href=""http://blog.war-on-ice.com/index.html%3Fp=37.html"" target=""_blank"">The Road to WAR (for Hockey), Part 1: The Single-Number Dream</a>",http://blog.war-on-ice.com/index.html%3Fp=37.html,"The Road to WAR (for Hockey), Part 1: The Single-Number Dream",A.C. Thomas,2014,Evaluation,Skaters,WAR-on-Ice,,
74,"<a href=""http://hockeysimplified.blogspot.com/2016/05/the-repeatability-of-vsm-score.html"" target=_blank"">Repeatability Of Skater VSM (Sant.Score)</a>",http://hockeysimplified.blogspot.com/2016/05/the-repeatability-of-vsm-score.html,Repeatability Of Skater VSM (Sant.Score),Web Sant,2016,Measures,"Prediction, Repeatibility, Skaters",Hockey Simplified,,
75,"<a href=""http://web.archive.org/web/20100105033204/http://puckprospectus.com/article.php?articleid=351"" target=""_blank"">A Castle Built on Sand</a>",http://web.archive.org/web/20100105033204/http://puckprospectus.com/article.php?articleid=351,A Castle Built on Sand,Tom Awad,2009,Measures,Rink Bias,Puck Prospectus,,
76,"<a href=""https://theathletic.com/75315/2017/07/13/by-the-numbers-can-new-leafs-defenceman-ron-hainsey-handle-tough-minutes/"" target=""_blank"">By the Numbers: Can New Leafs' Defenceman Ron Hainsey Handle Tough Minutes?</a>",https://theathletic.com/75315/2017/07/13/by-the-numbers-can-new-leafs-defenceman-ron-hainsey-handle-tough-minutes/,By the Numbers: Can New Leafs' Defenceman Ron Hainsey Handle Tough Minutes?,Dom Luszczyszyn,2017,Measures,Quality of Competition / Teammates,The Athletic,,
77,"<a href=""https://archive.is/05rO86"" target=""_blank"">Numbers on Ice: What makes good players good, part two</a>",https://archive.is/05rO86,"Numbers on Ice: What makes good players good, part two",Tom Awad,2010,Evaluation,Skaters,Hockey Prospectus,,
